"Titulo","ISBN","Genero","Año","Autor"
"Cien Años de Soledad","978-84-376-0494-7","Realismo Magico","1967","Gabriel Garcia Marquez"
"El Señor de los Anillos: La Comunidad del Anillo","978-84-450-7274-4","Fantasia","1954","J.R.R. Tolkien"
"1984","978-84-9989-094-1","Distopia","1949","George Orwell"
"Orgullo y Prejuicio","978-84-9105-070-4","Romance Clasico","1813","Jane Austen"
"Crimen y Castigo","978-84-376-0495-4","Novela Psicologica","1866","Fiodor Dostoievski"
"Un Mundo Feliz","978-84-450-7813-5","Distopia","1932","Aldous Huxley"
"El Principito","978-84-261-0810-0","Fabula","1943","Antoine de Saint-Exupery"
"Don Quijote de la Mancha (Volumen 1)","978-84-233-5188-7","Clasico","1605","Miguel de Cervantes"
"Harry Potter y la Piedra Filosofal","978-84-7888-644-1","Fantasia Juvenil","1997","J.K. Rowling"
"Rayuela","978-84-663-3632-4","Experimental","1963","Julio Cortazar"
"Cien Años de Soledad (Edicion Aniversario)","978-84-663-3987-5","Realismo Magico","1967","Gabriel Garcia Marquez"
"El Extranjero","978-84-339-2041-3","Filosofia","1942","Albert Camus"
"Matar a un Ruiseñor","978-84-264-0738-4","Novela Social","1960","Harper Lee"
"Cronica de una Muerte Anunciada","978-84-9759-425-4","Novela Corta","1981","Gabriel Garcia Marquez"
"Cumbres Borrascosas","978-84-9105-091-9","Gotico/Romance","1847","Emily Bronte"
"El Gran Gatsby","978-84-204-7463-2","Clasico Moderno","1925","F. Scott Fitzgerald"
"El Señor de los Anillos: Las Dos Torres","978-84-450-7275-1","Fantasia","1954","J.R.R. Tolkien"
"La Sombra del Viento","978-84-08-07203-1","Misterio/Ficcion Historica","2001","Carlos Ruiz Zafon"
"Ensayo sobre la Ceguera","978-84-204-7491-5","Distopia","1995","Jose Saramago"
"El Codigo Da Vinci","978-84-08-06103-5","Thriller","2003","Dan Brown"
"Don Quijote de la Mancha (Volumen 2)","978-84-233-5189-4","Clasico","1615","Miguel de Cervantes"
"El Amor en los Tiempos del Colera","978-84-9759-426-1","Romance","1985","Gabriel Garcia Marquez"
"El Retrato de Dorian Gray","978-84-667-2780-6","Gotico/Filosofia","1890","Oscar Wilde"
"Los Miserables (Parte I)","978-84-670-4965-0","Novela Historica","1862","Victor Hugo"
