"Título","ISBN","Género","Año","Autor"
"El Señor de los Anillos","978-84-450-7274-4","Fantasía","1954","J.R.R. Tolkien"
"Cien Años de Soledad","978-84-376-0494-7","Realismo Mágico","1967","Gabriel García Márquez"
"1984","978-0-452-28423-4","Distopía","1949","George Orwell"
"Harry Potter y la piedra filosofal","978-84-9838-236-7","Fantasía","1997","J.K. Rowling"
"Don Quijote de la Mancha","978-84-376-0493-0","Clásico","1605","Miguel de Cervantes"
"El Principito","978-84-9838-362-2","Fábula","1943","Antoine de Saint-Exupéry"
"Crimen y Castigo","978-84-206-7691-3","Novela Psicológica","1866","Fiódor Dostoyevski"
"Orgullo y Prejuicio","978-84-206-8905-0","Romántica","1813","Jane Austen"
"La Odisea","978-84-376-1000-9","Épica","-800","Homero"
"Fahrenheit 451","978-0-7432-4722-1","Ciencia Ficción","1953","Ray Bradbury"
"Título Ejemplo 11","978-84-0000-0011","Género Ejemplo","1911","Autor 11"
"Título Ejemplo 12","978-84-0000-0012","Género Ejemplo","1912","Autor 12"
"Título Ejemplo 13","978-84-0000-0013","Género Ejemplo","1913","Autor 13"
"Título Ejemplo 14","978-84-0000-0014","Género Ejemplo","1914","Autor 14"
"Título Ejemplo 15","978-84-0000-0015","Género Ejemplo","1915","Autor 15"
"Título Ejemplo 16","978-84-0000-0016","Género Ejemplo","1916","Autor 16"
"Título Ejemplo 17","978-84-0000-0017","Género Ejemplo","1917","Autor 17"
"Título Ejemplo 18","978-84-0000-0018","Género Ejemplo","1918","Autor 18"
"Título Ejemplo 19","978-84-0000-0019","Género Ejemplo","1919","Autor 19"
"Título Ejemplo 20","978-84-0000-0020","Género Ejemplo","1920","Autor 20"
"Título Ejemplo 21","978-84-0000-0021","Género Ejemplo","1921","Autor 21"
"Título Ejemplo 22","978-84-0000-0022","Género Ejemplo","1922","Autor 22"
"Título Ejemplo 23","978-84-0000-0023","Género Ejemplo","1923","Autor 23"
"Título Ejemplo 24","978-84-0000-0024","Género Ejemplo","1924","Autor 24"
"Título Ejemplo 25","978-84-0000-0025","Género Ejemplo","1925","Autor 25"
"Título Ejemplo 26","978-84-0000-0026","Género Ejemplo","1926","Autor 26"
"Título Ejemplo 27","978-84-0000-0027","Género Ejemplo","1927","Autor 27"
"Título Ejemplo 28","978-84-0000-0028","Género Ejemplo","1928","Autor 28"
"Título Ejemplo 29","978-84-0000-0029","Género Ejemplo","1929","Autor 29"
"Título Ejemplo 30","978-84-0000-0030","Género Ejemplo","1930","Autor 30"
"Título Ejemplo 31","978-84-0000-0031","Género Ejemplo","1931","Autor 31"
"Título Ejemplo 32","978-84-0000-0032","Género Ejemplo","1932","Autor 32"
"Título Ejemplo 33","978-84-0000-0033","Género Ejemplo","1933","Autor 33"
"Título Ejemplo 34","978-84-0000-0034","Género Ejemplo","1934","Autor 34"
"Título Ejemplo 35","978-84-0000-0035","Género Ejemplo","1935","Autor 35"
"Título Ejemplo 36","978-84-0000-0036","Género Ejemplo","1936","Autor 36"
"Título Ejemplo 37","978-84-0000-0037","Género Ejemplo","1937","Autor 37"
"Título Ejemplo 38","978-84-0000-0038","Género Ejemplo","1938","Autor 38"
"Título Ejemplo 39","978-84-0000-0039","Género Ejemplo","1939","Autor 39"
"Título Ejemplo 40","978-84-0000-0040","Género Ejemplo","1940","Autor 40"
"Título Ejemplo 41","978-84-0000-0041","Género Ejemplo","1941","Autor 41"
"Título Ejemplo 42","978-84-0000-0042","Género Ejemplo","1942","Autor 42"
"Título Ejemplo 43","978-84-0000-0043","Género Ejemplo","1943","Autor 43"
"Título Ejemplo 44","978-84-0000-0044","Género Ejemplo","1944","Autor 44"
"Título Ejemplo 45","978-84-0000-0045","Género Ejemplo","1945","Autor 45"
"Título Ejemplo 46","978-84-0000-0046","Género Ejemplo","1946","Autor 46"
"Título Ejemplo 47","978-84-0000-0047","Género Ejemplo","1947","Autor 47"
"Título Ejemplo 48","978-84-0000-0048","Género Ejemplo","1948","Autor 48"
"Título Ejemplo 49","978-84-0000-0049","Género Ejemplo","1949","Autor 49"
"Título Ejemplo 50","978-84-0000-0050","Género Ejemplo","1950","Autor 50"
"Título Ejemplo 51","978-84-0000-0051","Género Ejemplo","1951","Autor 51"
"Título Ejemplo 52","978-84-0000-0052","Género Ejemplo","1952","Autor 52"
"Título Ejemplo 53","978-84-0000-0053","Género Ejemplo","1953","Autor 53"
"Título Ejemplo 54","978-84-0000-0054","Género Ejemplo","1954","Autor 54"
"Título Ejemplo 55","978-84-0000-0055","Género Ejemplo","1955","Autor 55"
"Título Ejemplo 56","978-84-0000-0056","Género Ejemplo","1956","Autor 56"
"Título Ejemplo 57","978-84-0000-0057","Género Ejemplo","1957","Autor 57"
"Título Ejemplo 58","978-84-0000-0058","Género Ejemplo","1958","Autor 58"
"Título Ejemplo 59","978-84-0000-0059","Género Ejemplo","1959","Autor 59"
"Título Ejemplo 60","978-84-0000-0060","Género Ejemplo","1960","Autor 60"
"Título Ejemplo 61","978-84-0000-0061","Género Ejemplo","1961","Autor 61"
"Título Ejemplo 62","978-84-0000-0062","Género Ejemplo","1962","Autor 62"
"Título Ejemplo 63","978-84-0000-0063","Género Ejemplo","1963","Autor 63"
"Título Ejemplo 64","978-84-0000-0064","Género Ejemplo","1964","Autor 64"
"Título Ejemplo 65","978-84-0000-0065","Género Ejemplo","1965","Autor 65"
"Título Ejemplo 66","978-84-0000-0066","Género Ejemplo","1966","Autor 66"
"Título Ejemplo 67","978-84-0000-0067","Género Ejemplo","1967","Autor 67"
"Título Ejemplo 68","978-84-0000-0068","Género Ejemplo","1968","Autor 68"
"Título Ejemplo 69","978-84-0000-0069","Género Ejemplo","1969","Autor 69"
"Título Ejemplo 70","978-84-0000-0070","Género Ejemplo","1970","Autor 70"
"Título Ejemplo 71","978-84-0000-0071","Género Ejemplo","1971","Autor 71"
"Título Ejemplo 72","978-84-0000-0072","Género Ejemplo","1972","Autor 72"
"Título Ejemplo 73","978-84-0000-0073","Género Ejemplo","1973","Autor 73"
"Título Ejemplo 74","978-84-0000-0074","Género Ejemplo","1974","Autor 74"
"Título Ejemplo 75","978-84-0000-0075","Género Ejemplo","1975","Autor 75"
"Título Ejemplo 76","978-84-0000-0076","Género Ejemplo","1976","Autor 76"
"Título Ejemplo 77","978-84-0000-0077","Género Ejemplo","1977","Autor 77"
"Título Ejemplo 78","978-84-0000-0078","Género Ejemplo","1978","Autor 78"
"Título Ejemplo 79","978-84-0000-0079","Género Ejemplo","1979","Autor 79"
"Título Ejemplo 80","978-84-0000-0080","Género Ejemplo","1980","Autor 80"
"Título Ejemplo 81","978-84-0000-0081","Género Ejemplo","1981","Autor 81"
"Título Ejemplo 82","978-84-0000-0082","Género Ejemplo","1982","Autor 82"
"Título Ejemplo 83","978-84-0000-0083","Género Ejemplo","1983","Autor 83"
"Título Ejemplo 84","978-84-0000-0084","Género Ejemplo","1984","Autor 84"
"Título Ejemplo 85","978-84-0000-0085","Género Ejemplo","1985","Autor 85"
"Título Ejemplo 86","978-84-0000-0086","Género Ejemplo","1986","Autor 86"
"Título Ejemplo 87","978-84-0000-0087","Género Ejemplo","1987","Autor 87"
"Título Ejemplo 88","978-84-0000-0088","Género Ejemplo","1988","Autor 88"
"Título Ejemplo 89","978-84-0000-0089","Género Ejemplo","1989","Autor 89"
"Título Ejemplo 90","978-84-0000-0090","Género Ejemplo","1990","Autor 90"
"Título Ejemplo 91","978-84-0000-0091","Género Ejemplo","1991","Autor 91"
"Título Ejemplo 92","978-84-0000-0092","Género Ejemplo","1992","Autor 92"
"Título Ejemplo 93","978-84-0000-0093","Género Ejemplo","1993","Autor 93"
"Título Ejemplo 94","978-84-0000-0094","Género Ejemplo","1994","Autor 94"
"Título Ejemplo 95","978-84-0000-0095","Género Ejemplo","1995","Autor 95"
"Título Ejemplo 96","978-84-0000-0096","Género Ejemplo","1996","Autor 96"
"Título Ejemplo 97","978-84-0000-0097","Género Ejemplo","1997","Autor 97"
"Título Ejemplo 98","978-84-0000-0098","Género Ejemplo","1998","Autor 98"
"Título Ejemplo 99","978-84-0000-0099","Género Ejemplo","1999","Autor 99"
"Título Ejemplo 100","978-84-0000-0100","Género Ejemplo","2000","Autor 100"
"Título Ejemplo 101","978-84-0000-0101","Género Ejemplo","2001","Autor 101"
"Título Ejemplo 102","978-84-0000-0102","Género Ejemplo","2002","Autor 102"
"Título Ejemplo 103","978-84-0000-0103","Género Ejemplo","2003","Autor 103"
"Título Ejemplo 104","978-84-0000-0104","Género Ejemplo","2004","Autor 104"
"Título Ejemplo 105","978-84-0000-0105","Género Ejemplo","2005","Autor 105"
"Título Ejemplo 106","978-84-0000-0106","Género Ejemplo","2006","Autor 106"
"Título Ejemplo 107","978-84-0000-0107","Género Ejemplo","2007","Autor 107"
"Título Ejemplo 108","978-84-0000-0108","Género Ejemplo","2008","Autor 108"
"Título Ejemplo 109","978-84-0000-0109","Género Ejemplo","2009","Autor 109"
"Título Ejemplo 110","978-84-0000-0110","Género Ejemplo","2010","Autor 110"
"Título Ejemplo 111","978-84-0000-0111","Género Ejemplo","2011","Autor 111"
"Título Ejemplo 112","978-84-0000-0112","Género Ejemplo","2012","Autor 112"
"Título Ejemplo 113","978-84-0000-0113","Género Ejemplo","2013","Autor 113"
"Título Ejemplo 114","978-84-0000-0114","Género Ejemplo","2014","Autor 114"
"Título Ejemplo 115","978-84-0000-0115","Género Ejemplo","2015","Autor 115"
"Título Ejemplo 116","978-84-0000-0116","Género Ejemplo","2016","Autor 116"
"Título Ejemplo 117","978-84-0000-0117","Género Ejemplo","2017","Autor 117"
"Título Ejemplo 118","978-84-0000-0118","Género Ejemplo","2018","Autor 118"
"Título Ejemplo 119","978-84-0000-0119","Género Ejemplo","2019","Autor 119"
"Título Ejemplo 120","978-84-0000-0120","Género Ejemplo","2020","Autor 120"
